{-2.5474, 7.1611, 6.6487}
|Stopped!{-2.5474, 7.1611, 6.6487}
|{-0.0532, -0.2857, -0.0887}
{-2.5331, 6.9456, 6.7086}
|{-0.0532, -0.2857, -0.0887}
{-2.5331, 6.9456, 6.7086}
|{-0.0724, -0.2281, -0.0621}
{-2.3511, 7.0701, 6.2656}
|{-0.0724, -0.2281, -0.0621}
{-2.3511, 7.0701, 6.2656}
|{-0.0393, -0.1695, -0.013}
{-2.1452, 7.288, 6.201}
|{-0.0393, -0.1695, -0.013}
{-2.1452, 7.288, 6.201}
|{0.0075, -0.2665, 0.0189}
{-2.5139, 7.0581, 6.5481}
|{0.0075, -0.2665, 0.0189}
{-2.5139, 7.0581, 6.5481}
|{0.0352, -0.4518, -0.0386}
{-2.4995, 6.3303, 6.7588}
|{0.0352, -0.4518, -0.0386}
{-2.4995, 6.3303, 6.7588}
|{0.0693, -0.5413, -0.078}
{-2.0183, 6.6248, 6.5745}
|{0.0693, -0.5413, -0.078}
{-2.0183, 6.6248, 6.5745}
|{0.081, -0.4401, 0.0051}
{-1.4293, 7.094, 6.292}
|{0.081, -0.4401, 0.0051}
{-1.4293, 7.094, 6.292}
|{0.0011, -0.2388, 0.0668}
{-1.8124, 7.2042, 6.596}
|{0.0011, -0.2388, 0.0668}
{-1.8124, 7.2042, 6.596}
|{-0.0894, -0.1099, -0.0152}
{-2.2003, 6.9049, 7.0988}
|{-0.0894, -0.1099, -0.0152}
{-2.2003, 6.9049, 7.0988}
|{-0.1022, -0.1014, -0.0961}
{-2.1907, 6.6702, 6.4524}
|{-0.1022, -0.1014, -0.0961}
{-2.1907, 6.6702, 6.4524}
|{-0.0074, -0.0928, -0.078}
{-1.8172, 7.2353, 6.505}
|{-0.0074, -0.0928, -0.078}
{-1.8172, 7.2353, 6.505}
|{0.032, -0.0992, 0.0136}
{-1.6185, 7.185, 6.7924}
|{0.032, -0.0992, 0.0136}
{-1.6185, 7.185, 6.7924}
|{-0.0425, -0.0343, 0.0189}
{-1.9896, 7.1204, 6.4428}
|{-0.0425, -0.0343, 0.0189}
{-1.9896, 7.1204, 6.4428}
|{-0.017, -0.0268, -0.0322}
{-1.7741, 7.1826, 6.347}
|{-0.017, -0.0268, -0.0322}
{-1.7741, 7.1826, 6.347}
|{0.0299, -0.0737, -0.0322}
{-1.8172, 7.2018, 6.3925}
|{0.0299, -0.0737, -0.0322}
{-1.8172, 7.2018, 6.3925}
|{0.0097, -0.0833, -0.0365}
{-2.1213, 7.039, 6.8187}
|{0.0097, -0.0833, -0.0365}
{-2.1213, 7.039, 6.8187}
|{-0.0298, -0.0524, -0.0642}
{-2.2434, 7.0749, 6.8163}
|{-0.0298, -0.0524, -0.0642}
{-2.2434, 7.0749, 6.8163}
|{-0.0383, -2.0E-4, -0.0514}
{-2.0087, 7.1275, 6.6966}
|{-0.0383, -2.0E-4, -0.0514}
{-2.0087, 7.1275, 6.6966}
|{-0.0021, 0.0041, -0.0248}
{-2.1452, 7.0725, 6.5912}
|{-0.0021, 0.0041, -0.0248}
{-2.1452, 7.0725, 6.5912}
|{0.0246, -0.0204, -0.0407}
{-2.2649, 6.9552, 6.6463}
|{0.0246, -0.0204, -0.0407}
{-2.2649, 6.9552, 6.6463}
|{0.0054, -0.0087, -0.0407}
{-2.1811, 6.936, 6.4979}
|{0.0054, -0.0087, -0.0407}
{-2.1811, 6.936, 6.4979}
|{0.0022, 0.0041, -0.013}
{-2.0973, 6.9576, 6.6104}
|{0.0022, 0.0041, -0.013}
{-2.0973, 6.9576, 6.6104}
|{-0.0042, 0.002, 0.0061}
{-2.1069, 6.9145, 6.5649}
|{-0.0042, 0.002, 0.0061}
{-2.1069, 6.9145, 6.5649}
|{-0.0021, 0.003, 0.0072}
{-2.0925, 6.9743, 6.2656}
|{-0.0021, 0.003, 0.0072}
{-2.0925, 6.9743, 6.2656}
|{0.0022, 0.0062, 0.0051}
{-2.1021, 7.0533, 6.4332}
|{0.0022, 0.0062, 0.0051}
{-2.1021, 7.0533, 6.4332}
|{-0.0159, -0.014, -3.0E-4}
{-2.1715, 7.0006, 6.6367}
|{-0.0159, -0.014, -3.0E-4}
{-2.1715, 7.0006, 6.6367}
|{-0.018, -0.0396, -0.0109}
{-2.1931, 6.9288, 6.4404}
|{-0.018, -0.0396, -0.0109}
{-2.1931, 6.9288, 6.4404}
|{0.0022, -0.0204, -0.0173}
{-2.3296, 6.9216, 6.4332}
|{0.0022, -0.0204, -0.0173}
{-2.3296, 6.9216, 6.4332}
|{0.0086, -0.0087, -0.0184}
{-2.4708, 6.7516, 6.5194}
|{0.0086, -0.0087, -0.0184}
{-2.4708, 6.7516, 6.5194}
|{0.0075, -0.014, -0.0067}
{-2.2553, 6.845, 6.4979}
|{0.0075, -0.014, -0.0067}
{-2.2553, 6.845, 6.4979}
|{0.0097, -0.0279, 0.0445}
{-2.0087, 6.924, 6.426}
|{0.0097, -0.0279, 0.0445}
{-2.0087, 6.924, 6.426}
|{0.0011, -0.0343, 0.0839}
{-2.0949, 6.9408, 6.2968}
|{0.0011, -0.0343, 0.0839}
{-2.0949, 6.9408, 6.2968}
|{-0.018, -0.0012, 0.0668}
{-2.2098, 7.003, 6.347}
|{-0.018, -0.0012, 0.0668}
{-2.2098, 7.003, 6.347}
|{-0.0617, 0.0222, 0.0423}
{-2.2649, 7.0054, 6.6679}
|{-0.0617, 0.0222, 0.0423}
{-2.2649, 7.0054, 6.6679}
|{-0.0947, 0.0094, 0.0349}
{-2.3631, 6.8331, 6.8857}
|{-0.0947, 0.0094, 0.0349}
{-2.3631, 6.8331, 6.8857}
|{-0.0905, 0.0201, 0.0296}
{-2.2673, 6.845, 6.7804}
|{-0.0905, 0.0201, 0.0296}
{-2.2673, 6.845, 6.7804}
|{-0.0575, 0.0339, 0.0732}
{-2.059, 6.9528, 6.5098}
|{-0.0575, 0.0339, 0.0732}
{-2.059, 6.9528, 6.5098}
|{-0.0212, 0.0392, 0.1265}
{-1.8603, 6.9336, 6.6367}
|{-0.0212, 0.0392, 0.1265}
{-1.8603, 6.9336, 6.6367}
|{0.0033, 0.0147, 0.1403}
{-1.8651, 6.9528, 6.62}
|{0.0033, 0.0147, 0.1403}
{-1.8651, 6.9528, 6.62}
|{0.0235, -0.0034, 0.1212}
{-1.7166, 6.845, 6.4069}
|{0.0235, -0.0034, 0.1212}
{-1.7166, 6.845, 6.4069}
|{0.0395, 9.0E-4, 0.0956}
{-1.889, 6.7876, 6.2153}
|{0.0395, 9.0E-4, 0.0956}
{-1.889, 6.7876, 6.2153}
|{0.032, -0.0129, 0.0764}
{-1.6664, 7.106, 6.5649}
|{0.032, -0.0129, 0.0764}
{-1.6664, 7.106, 6.5649}
|{-0.0074, -0.0438, 0.0999}
{-1.5347, 7.2808, 6.5146}
|{-0.0074, -0.0438, 0.0999}
{-1.5347, 7.2808, 6.5146}
|{-0.0255, -0.0417, 0.0935}
{-1.8483, 7.276, 6.359}
|{-0.0255, -0.0417, 0.0935}
{-1.8483, 7.276, 6.359}
|{-0.0372, -0.0119, 0.036}
{-2.0039, 7.4364, 6.4787}
|{-0.0372, -0.0119, 0.036}
{-2.0039, 7.4364, 6.4787}
|{-0.0713, -0.0087, 0.004}
{-2.0518, 7.4124, 6.9049}
|{-0.0713, -0.0087, 0.004}
{-2.0518, 7.4124, 6.9049}
|{-0.1118, -0.0151, -0.0407}
