{-3.225, 6.0956, 7.1706}
|Stopped!{-3.225, 6.0956, 7.1706}
|{0.0898, -0.1424, -0.0312}
{-3.4524, 5.9903, 7.1898}
|{0.0898, -0.1424, -0.0312}
{-3.4524, 5.9903, 7.1898}
|{0.0877, -0.1328, -0.0429}
{-3.3423, 5.9592, 7.2161}
|{0.0877, -0.1328, -0.0429}
{-3.3423, 5.9592, 7.2161}
|{0.0749, -0.0721, -0.0365}
{-3.2705, 6.0478, 6.936}
|{0.0749, -0.0721, -0.0365}
{-3.2705, 6.0478, 6.936}
|{0.0919, -0.0763, -0.0248}
{-3.0789, 5.9687, 7.0413}
|{0.0919, -0.0763, -0.0248}
{-3.0789, 5.9687, 7.0413}
|{0.0856, -0.0902, -0.0429}
{-3.2801, 5.794, 7.2712}
|{0.0856, -0.0902, -0.0429}
{-3.2801, 5.794, 7.2712}
|{0.0515, -0.0572, -0.0706}
{-3.3351, 5.7437, 6.9815}
|{0.0515, -0.0572, -0.0706}
{-3.3351, 5.7437, 6.9815}
|{0.06, -0.0124, -0.0706}
{-3.1939, 5.8897, 6.7277}
|{0.06, -0.0124, -0.0706}
{-3.1939, 5.8897, 6.7277}
|{0.0674, 0.011, -0.0386}
{-3.3854, 5.9041, 6.8618}
|{0.0674, 0.011, -0.0386}
{-3.3854, 5.9041, 6.8618}
|{0.0355, -0.0177, -0.0205}
{-3.0215, 5.9089, 7.4508}
|{0.0355, -0.0177, -0.0205}
{-3.0215, 5.9089, 7.4508}
|{0.0046, -0.0444, -0.0024}
{-2.8754, 5.9017, 7.2449}
|{0.0046, -0.0444, -0.0024}
{-2.8754, 5.9017, 7.2449}
|{0.0504, -0.0753, -3.0E-4}
{-3.2082, 5.8442, 6.8833}
|{0.0504, -0.0753, -3.0E-4}
{-3.2082, 5.8442, 6.8833}
|{0.0834, -0.0508, -0.0333}
{-3.395, 5.8538, 6.7133}
|{0.0834, -0.0508, -0.0333}
{-3.395, 5.8538, 6.7133}
|{0.0568, -0.0348, -0.0397}
{-3.4453, 5.9472, 6.8761}
|{0.0568, -0.0348, -0.0397}
{-3.4453, 5.9472, 6.8761}
|{0.027, -0.1008, -0.0099}
{-3.1987, 5.8275, 7.1228}
|{0.027, -0.1008, -0.0099}
{-3.1987, 5.8275, 7.1228}
|{0.0259, -0.1861, 0.0285}
{-2.9784, 5.8969, 7.039}
|{0.0259, -0.1861, 0.0285}
{-2.9784, 5.8969, 7.039}
|{0.0408, -0.1988, 0.0519}
{-3.1987, 5.8849, 6.9384}
|{0.0408, -0.1988, 0.0519}
{-3.1987, 5.8849, 6.9384}
|{0.0323, -0.1733, 0.0327}
{-3.1077, 5.8826, 7.082}
|{0.0323, -0.1733, 0.0327}
{-3.1077, 5.8826, 7.082}
|{-0.0018, -0.1413, 0.0317}
{-2.8706, 6.1076, 7.501}
|{-0.0018, -0.1413, 0.0317}
{-2.8706, 6.1076, 7.501}
|{-0.038, -0.0806, 0.0657}
{-2.897, 5.9903, 7.1994}
|{-0.038, -0.0806, 0.0657}
{-2.897, 5.9903, 7.1994}
|{0.0131, -0.0689, 0.0583}
{-3.1484, 5.8969, 6.9863}
|{0.0131, -0.0689, 0.0583}
{-3.1484, 5.8969, 6.9863}
|{0.0611, -0.0582, 0.0359}
{-3.1675, 5.8993, 6.9384}
|{0.0611, -0.0582, 0.0359}
{-3.1675, 5.8993, 6.9384}
|{0.0397, -0.0305, 0.0391}
{-3.237, 5.8921, 7.2664}
|{0.0397, -0.0305, 0.0391}
{-3.237, 5.8921, 7.2664}
|{0.0067, -0.0167, 0.054}
{-2.988, 5.9472, 7.252}
|{0.0067, -0.0167, 0.054}
{-2.988, 5.9472, 7.252}
|{0.0174, -0.038, 0.0977}
{-2.7414, 6.0525, 7.0916}
|{0.0174, -0.038, 0.0977}
{-2.7414, 6.0525, 7.0916}
|{0.0419, -0.0231, 0.1084}
{-2.739, 6.0525, 6.9576}
|{0.0419, -0.0231, 0.1084}
{-2.739, 6.0525, 6.9576}
|{0.0248, 0.0185, 0.0871}
{-3.0742, 5.9233, 6.857}
|{0.0248, 0.0185, 0.0871}
{-3.0742, 5.9233, 6.857}
|{0.0089, 0.0206, 0.0636}
{-2.897, 5.9592, 6.7708}
|{0.0089, 0.0206, 0.0636}
{-2.897, 5.9592, 6.7708}
|{-0.0103, 0.0206, 0.0871}
{-2.6504, 6.2345, 6.9216}
|{-0.0103, 0.0206, 0.0871}
{-2.6504, 6.2345, 6.9216}
|{-0.0284, -0.0082, 0.1286}
{-2.8036, 6.292, 7.1563}
|{-0.0284, -0.0082, 0.1286}
{-2.8036, 6.292, 7.1563}
|{-0.0401, -0.0369, 0.1158}
{-3.0095, 6.2393, 7.2185}
|{-0.0401, -0.0369, 0.1158}
{-3.0095, 6.2393, 7.2185}
|{-0.0412, -0.0497, 0.0988}
{-3.1508, 6.1938, 7.3406}
|{-0.0412, -0.0497, 0.0988}
{-3.1508, 6.1938, 7.3406}
|{-0.0359, -0.0689, 0.1094}
{-2.8228, 6.1579, 7.4484}
|{-0.0359, -0.0689, 0.1094}
{-2.8228, 6.1579, 7.4484}
|{-0.0433, -0.0593, 0.1361}
{-2.727, 6.1723, 7.616}
|{-0.0433, -0.0593, 0.1361}
{-2.727, 6.1723, 7.616}
|{-0.0519, -0.0476, 0.1456}
{-2.6743, 6.1507, 7.3406}
|{-0.0519, -0.0476, 0.1456}
{-2.6743, 6.1507, 7.3406}
|{-0.0284, -0.0401, 0.1414}
{-2.7054, 6.1292, 6.8211}
|{-0.0284, -0.0401, 0.1414}
{-2.7054, 6.1292, 6.8211}
|{0.0078, -0.0327, 0.1297}
{-2.5379, 6.1435, 7.0413}
|{0.0078, -0.0327, 0.1297}
{-2.5379, 6.1435, 7.0413}
|{-0.0071, -0.0667, 0.1169}
{-2.9473, 5.9783, 7.2042}
|{-0.0071, -0.0667, 0.1169}
{-2.9473, 5.9783, 7.2042}
|{-0.0476, -0.0678, 0.0817}
{-3.0167, 5.8107, 7.2305}
|{-0.0476, -0.0678, 0.0817}
{-3.0167, 5.8107, 7.2305}
|{-0.0476, -0.0721, 0.0871}
{-2.8084, 5.8371, 7.355}
|{-0.0476, -0.0721, 0.0871}
{-2.8084, 5.8371, 7.355}
|{-0.0231, -0.1147, 0.1361}
{-2.4708, 6.0645, 7.4962}
|{-0.0231, -0.1147, 0.1361}
{-2.4708, 6.0645, 7.4962}
|{-0.0188, -0.1019, 0.1851}
{-2.2769, 6.1866, 7.5561}
|{-0.0188, -0.1019, 0.1851}
{-2.2769, 6.1866, 7.5561}
|{-0.0146, -0.0593, 0.1989}
{-2.2098, 6.2369, 7.2975}
|{-0.0146, -0.0593, 0.1989}
{-2.2098, 6.2369, 7.2975}
|{0.0195, -0.0369, 0.1733}
{-2.1668, 6.2201, 6.9552}
|{0.0195, -0.0369, 0.1733}
{-2.1668, 6.2201, 6.9552}
|{0.0611, -0.0359, 0.1233}
{-2.4062, 6.1076, 6.5649}
|{0.0611, -0.0359, 0.1233}
{-2.4062, 6.1076, 6.5649}
|{0.0749, -0.0486, 0.0647}
{-2.8347, 5.7868, 6.7708}
|{0.0749, -0.0486, 0.0647}
{-2.8347, 5.7868, 6.7708}
|{0.0184, -0.054, -0.0014}
{-3.1292, 5.5617, 7.2401}
|{0.0184, -0.054, -0.0014}
{-3.1292, 5.5617, 7.2401}
|{-0.0551, -0.0667, -0.0014}
{-2.9209, 5.7102, 7.5058}
|{-0.0551, -0.0667, -0.0014}
{-2.9209, 5.7102, 7.5058}
|{-0.0764, -0.1083, 0.0881}
{-2.4828, 5.9352, 7.446}
|{-0.0764, -0.1083, 0.0881}
{-2.4828, 5.9352, 7.446}
|{-0.0476, -0.1083, 0.1627}
{-2.2553, 5.9759, 7.2856}
|{-0.0476, -0.1083, 0.1627}
{-2.2553, 5.9759, 7.2856}
|{-0.0274, -0.0912, 0.1723}
{-2.4541, 6.0789, 7.3119}
|{-0.0274, -0.0912, 0.1723}
{-2.4541, 6.0789, 7.3119}
|{-0.0295, -0.1083, 0.1542}
{-2.3942, 6.0214, 7.2736}
|{-0.0295, -0.1083, 0.1542}
{-2.3942, 6.0214, 7.2736}
|{-0.0497, -0.0912, 0.152}
{-2.1739, 6.1866, 7.8147}
|{-0.0497, -0.0912, 0.152}
{-2.1739, 6.1866, 7.8147}
|{-0.087, -0.0944, 0.1797}
{-1.585, 6.4236, 8.5281}
|{-0.087, -0.0944, 0.1797}
{-1.585, 6.4236, 8.5281}
|{-0.0806, -0.1285, 0.2341}
{-1.3743, 6.6343, 8.8897}
|{-0.0806, -0.1285, 0.2341}
{-1.3743, 6.6343, 8.8897}
|{0.0035, -0.0966, 0.2554}
{-1.5275, 6.4907, 8.2025}
|{0.0035, -0.0966, 0.2554}
{-1.5275, 6.4907, 8.2025}
|{0.1271, 0.0462, 0.2255}
{-1.5826, 6.541, 7.2185}
|{0.1271, 0.0462, 0.2255}
{-1.5826, 6.541, 7.2185}
|{0.2326, 0.1101, 0.2106}
{-1.2785, 6.6391, 7.0054}
|{0.2326, 0.1101, 0.2106}
{-1.2785, 6.6391, 7.0054}
|{0.2677, 0.0323, 0.2074}
{-1.3958, 6.6894, 6.8235}
|{0.2677, 0.0323, 0.2074}
{-1.3958, 6.6894, 6.8235}
|{0.2656, -0.0614, 0.1435}
{-1.6927, 6.7086, 6.5122}
|{0.2656, -0.0614, 0.1435}
{-1.6927, 6.7086, 6.5122}
|{0.2443, -0.0582, 0.0306}
{-2.0758, 6.596, 6.4189}
|{0.2443, -0.0582, 0.0306}
{-2.0758, 6.596, 6.4189}
|{0.1825, -0.0241, -0.094}
{-2.3703, 6.1052, 6.5769}
|{0.1825, -0.0241, -0.094}
{-2.3703, 6.1052, 6.5769}
|{0.1047, -0.0082, -0.1952}
{-2.8012, 6.4069, 7.2736}
|{0.1047, -0.0082, -0.1952}
{-2.8012, 6.4069, 7.2736}
|{0.0621, -0.0827, -0.2187}
{-2.7605, 6.2369, 7.774}
|{0.0621, -0.0827, -0.2187}
{-2.7605, 6.2369, 7.774}
|{0.0334, -0.0625, -0.2144}
{-2.9975, 5.9376, 7.6543}
|{0.0334, -0.0625, -0.2144}
{-2.9975, 5.9376, 7.6543}
|{0.0621, 4.0E-4, -0.1984}
{-2.7126, 5.9448, 7.2712}
|{0.0621, 4.0E-4, -0.1984}
{-2.7126, 5.9448, 7.2712}
|{0.1473, -0.1115, -0.1111}
{-2.3511, 5.9328, 7.1802}
|{0.1473, -0.1115, -0.1111}
{-2.3511, 5.9328, 7.1802}
|{0.2038, -0.3064, -0.0429}
{-2.2553, 5.7221, 7.0797}
|{0.2038, -0.3064, -0.0429}
{-2.2553, 5.7221, 7.0797}
|{0.174, -0.3011, -0.0482}
{-1.4796, 5.9017, 6.3949}
|{0.174, -0.3011, -0.0482}
{-1.4796, 5.9017, 6.3949}
|{0.1324, -0.2159, -0.044}
{-0.1963, 6.2321, 5.5354}
|{0.1324, -0.2159, -0.044}
{-0.1963, 6.2321, 5.5354}
|{0.1473, -0.3757, -0.0504}
{-0.4262, 6.2944, 5.193}
|{0.1473, -0.3757, -0.0504}
{-0.4262, 6.2944, 5.193}
|{0.207, -0.8987, -0.1825}
{-1.968, 5.7197, 5.794}
|{0.207, -0.8987, -0.1825}
{-1.968, 5.7197, 5.794}
|{0.2166, -1.4303, -0.3572}
{-2.4756, 5.0566, 7.094}
