{-1.5467, 3.0382, 9.8617}
|Stopped!{-1.5467, 3.0382, 9.8617}
|{0.2712, 0.1785, 0.0103}
{-1.9106, 3.0646, 9.2919}
|{0.2712, 0.1785, 0.0103}
{-1.9106, 3.0646, 9.2919}
|{0.4886, 0.1774, 0.1541}
{-0.8691, 3.3375, 8.4755}
|{0.4886, 0.1774, 0.1541}
{-0.8691, 3.3375, 8.4755}
|{0.6175, -0.0282, 0.2798}
{-0.7542, 3.4764, 8.2504}
|{0.6175, -0.0282, 0.2798}
{-0.7542, 3.4764, 8.2504}
|{0.5344, -0.1283, 0.2265}
{-1.8938, 3.4141, 8.7245}
|{0.5344, -0.1283, 0.2265}
{-1.8938, 3.4141, 8.7245}
|{0.3096, 0.0198, 0.1029}
{-1.9824, 3.1603, 8.1642}
|{0.3096, 0.0198, 0.1029}
{-1.9824, 3.1603, 8.1642}
|{0.1146, 0.1178, 0.185}
{-0.328, 2.6887, 8.7508}
|{0.1146, 0.1178, 0.185}
{-0.328, 2.6887, 8.7508}
|{-0.0174, 0.2115, 0.332}
{-1.3264, 3.0813, 9.4044}
|{-0.0174, 0.2115, 0.332}
{-1.3264, 3.0813, 9.4044}
|{-0.1538, 0.5013, 0.3053}
{-1.6113, 3.3926, 9.9359}
|{-0.1538, 0.5013, 0.3053}
{-1.6113, 3.3926, 9.9359}
|{-0.1879, 0.5109, 0.2478}
{-2.0949, 3.5362, 9.8833}
|{-0.1879, 0.5109, 0.2478}
{-2.0949, 3.5362, 9.8833}
|{-0.0483, 0.1977, 0.2286}
{-1.5179, 3.5434, 10.489}
|{-0.0483, 0.1977, 0.2286}
{-1.5179, 3.5434, 10.489}
|{0.3746, 0.0922, 0.1647}
{-1.4581, 3.6966, 12.05}
|{0.3746, 0.0922, 0.1647}
{-1.4581, 3.6966, 12.05}
|{1.1884, 0.0975, 0.1232}
{-2.7533, 3.122, 8.3031}
|{1.1884, 0.0975, 0.1232}
{-2.7533, 3.122, 8.3031}
|{2.046, 0.4267, 0.268}
{-3.7445, 3.4309, 5.5737}
|{2.046, 0.4267, 0.268}
{-3.7445, 3.4309, 5.5737}
|{1.7317, 1.2331, 0.4811}
{-2.6576, 3.5434, 5.7317}
|{1.7317, 1.2331, 0.4811}
{-2.6576, 3.5434, 5.7317}
|{0.7378, 1.2896, 0.5322}
{-1.7095, 3.8786, 5.0637}
|{0.7378, 1.2896, 0.5322}
{-1.7095, 3.8786, 5.0637}
|{-0.0547, 0.8976, 0.7027}
{-0.8978, 6.0214, 6.0454}
|{-0.0547, 0.8976, 0.7027}
{-0.8978, 6.0214, 6.0454}
|{-0.6875, 0.5449, 0.741}
{0.0862, 5.679, 8.7029}
|{-0.6875, 0.5449, 0.741}
{0.0862, 5.679, 8.7029}
|{-0.8718, -0.1411, 0.3533}
{-3.4692, 2.5115, 7.9871}
|{-0.8718, -0.1411, 0.3533}
{-3.4692, 2.5115, 7.9871}
|{-0.8121, -1.1733, -0.1101}
{-1.506, 3.3255, 10.1849}
|{-0.8121, -1.1733, -0.1101}
{-1.506, 3.3255, 10.1849}
