{-1.2785, 8.3414, 4.9273}
|Stopped!{-1.2785, 8.3414, 4.9273}
|{-0.0498, 0.0268, 3.0E-4}
{-1.1588, 8.5569, 4.7453}
|{-0.0498, 0.0268, 3.0E-4}
{-1.1588, 8.5569, 4.7453}
|{-0.0423, 0.0567, 0.0397}
{-0.8906, 8.8059, 4.7381}
|{-0.0423, 0.0567, 0.0397}
{-0.8906, 8.8059, 4.7381}
|{-0.0125, 0.0236, 0.0483}
{-1.2282, 8.6143, 4.8387}
|{-0.0125, 0.0236, 0.0483}
{-1.2282, 8.6143, 4.8387}
|{-0.0263, 0.0087, -0.0018}
{-1.4078, 8.406, 4.8243}
|{-0.0263, 0.0087, -0.0018}
{-1.4078, 8.406, 4.8243}
|{-0.0189, -0.0019, -0.0178}
{-1.0989, 8.6024, 4.7525}
|{-0.0189, -0.0019, -0.0178}
{-1.0989, 8.6024, 4.7525}
|{0.0024, -0.0158, 0.0238}
{-1.221, 8.5258, 4.628}
|{0.0024, -0.0158, 0.0238}
{-1.221, 8.5258, 4.628}
|{0.0205, -0.0126, 0.0323}
{-1.2977, 8.4731, 4.6352}
|{0.0205, -0.0126, 0.0323}
{-1.2977, 8.4731, 4.6352}
|{0.0088, 0.0109, 0.0259}
{-1.0056, 8.6694, 4.719}
|{0.0088, 0.0109, 0.0259}
{-1.0056, 8.6694, 4.719}
|{-0.0146, 0.0066, 0.0397}
{-1.1827, 8.6503, 4.8794}
|{-0.0146, 0.0066, 0.0397}
{-1.1827, 8.6503, 4.8794}
|{-0.0199, -0.0051, 0.0174}
{-1.3024, 8.5305, 4.7453}
|{-0.0199, -0.0051, 0.0174}
{-1.3024, 8.5305, 4.7453}
|{-0.0018, 0.0087, -0.0082}
{-1.1827, 8.4755, 4.8123}
|{-0.0018, 0.0087, -0.0082}
{-1.1827, 8.4755, 4.8123}
|{0.0184, -0.0083, 0.0078}
{-1.2258, 8.4443, 4.7716}
|{0.0184, -0.0083, 0.0078}
{-1.2258, 8.4443, 4.7716}
|{0.0216, -0.0041, 0.0216}
{-1.3192, 8.4013, 4.4436}
|{0.0216, -0.0041, 0.0216}
{-1.3192, 8.4013, 4.4436}
|{0.0035, 0.0631, 0.0184}
{-1.2522, 8.3821, 4.276}
|{0.0035, 0.0631, 0.0184}
{-1.2522, 8.3821, 4.276}
|{-0.0434, 0.1003, 0.0099}
{-1.2689, 8.2384, 4.6424}
|{-0.0434, 0.1003, 0.0099}
