{-1.968, 7.2544, 6.6774}
|Stopped!{-1.968, 7.2544, 6.6774}
|{0.4275, -0.5825, -0.0188}
{-1.9369, 7.1323, 6.4763}
|{0.4275, -0.5825, -0.0188}
{-1.9369, 7.1323, 6.4763}
|{0.453, -0.5591, -0.087}
{-2.2266, 7.1658, 6.8019}
|{0.453, -0.5591, -0.087}
{-2.2266, 7.1658, 6.8019}
|{0.3572, -0.3982, -0.1531}
{-2.2841, 6.5362, 6.2393}
|{0.3572, -0.3982, -0.1531}
{-2.2841, 6.5362, 6.2393}
|{0.2879, -0.2981, -0.169}
{-2.0399, 7.0653, 6.5577}
|{0.2879, -0.2981, -0.169}
{-2.0399, 7.0653, 6.5577}
|{0.2975, -0.3971, -0.0849}
{-1.731, 7.0629, 6.7971}
|{0.2975, -0.3971, -0.0849}
{-1.731, 7.0629, 6.7971}
|{0.3348, -0.4728, -0.0465}
{-2.0327, 7.0988, 6.5793}
|{0.3348, -0.4728, -0.0465}
{-2.0327, 7.0988, 6.5793}
|{0.3572, -0.3535, -0.0891}
{-2.3655, 6.869, 7.2209}
|{0.3572, -0.3535, -0.0891}
{-2.3655, 6.869, 7.2209}
|{0.3359, -0.2256, -0.1105}
{-2.059, 6.7708, 6.7684}
|{0.3359, -0.2256, -0.1105}
{-2.059, 6.7708, 6.7684}
|{0.3934, -0.1148, -0.0636}
{-1.664, 6.9288, 5.8586}
|{0.3934, -0.1148, -0.0636}
{-1.664, 6.9288, 5.8586}
|{0.4136, 0.0162, -0.0135}
{-2.0016, 6.9408, 5.1499}
|{0.4136, 0.0162, -0.0135}
{-2.0016, 6.9408, 5.1499}
|{0.3657, -0.0136, -0.0093}
{-1.8579, 7.1682, 6.2944}
|{0.3657, -0.0136, -0.0093}
{-1.8579, 7.1682, 6.2944}
|{0.2666, -0.1543, -0.0093}
{-2.2051, 7.2616, 6.9647}
|{0.2666, -0.1543, -0.0093}
{-2.2051, 7.2616, 6.9647}
|{0.1984, -0.1085, -0.0444}
{-2.0063, 6.6319, 5.8395}
|{0.1984, -0.1085, -0.0444}
{-2.0063, 6.6319, 5.8395}
|{0.2368, 0.0822, -0.0327}
{-1.8196, 7.2496, 5.3846}
|{0.2368, 0.0822, -0.0327}
{-1.8196, 7.2496, 5.3846}
|{0.2922, 0.0694, 0.06}
{-1.8986, 7.1682, 5.9568}
|{0.2922, 0.0694, 0.06}
{-1.8986, 7.1682, 5.9568}
|{0.2432, -0.0424, 0.0781}
{-2.2386, 7.0054, 5.4372}
|{0.2432, -0.0424, 0.0781}
{-2.2386, 7.0054, 5.4372}
|{0.2368, -0.0477, 0.0653}
{-1.9992, 7.2233, 5.1595}
|{0.2368, -0.0477, 0.0653}
{-1.9992, 7.2233, 5.1595}
|{0.1814, 0.0162, 0.1164}
{-1.7693, 7.3933, 4.968}
|{0.1814, 0.0162, 0.1164}
{-1.7693, 7.3933, 4.968}
|{0.0717, 0.0652, 0.1644}
{-1.4246, 7.7596, 5.2289}
|{0.0717, 0.0652, 0.1644}
{-1.4246, 7.7596, 5.2289}
|{-0.0221, 0.0492, 0.1793}
{-1.2067, 7.8865, 5.5976}
|{-0.0221, 0.0492, 0.1793}
{-1.2067, 7.8865, 5.5976}
|{-0.0956, 0.0279, 0.1282}
{-1.6831, 7.5322, 5.9256}
|{-0.0956, 0.0279, 0.1282}
{-1.6831, 7.5322, 5.9256}
|{-0.1286, 0.0396, 0.028}
{-2.0111, 7.1467, 6.2489}
|{-0.1286, 0.0396, 0.028}
{-2.0111, 7.1467, 6.2489}
|{-0.1041, 0.0183, -0.0082}
{-2.0159, 7.0844, 6.1292}
|{-0.1041, 0.0183, -0.0082}
{-2.0159, 7.0844, 6.1292}
|{-0.0487, 0.0087, 0.0525}
{-1.8052, 7.1706, 6.3327}
|{-0.0487, 0.0087, 0.0525}
{-1.8052, 7.1706, 6.3327}
|{-0.0743, 0.046, 0.1175}
{-1.7693, 7.3478, 6.754}
|{-0.0743, 0.046, 0.1175}
{-1.7693, 7.3478, 6.754}
|{-0.1339, 0.0897, 0.1495}
{-1.7238, 7.343, 6.6295}
|{-0.1339, 0.0897, 0.1495}
{-1.7238, 7.343, 6.6295}
|{-0.0977, 0.1025, 0.1441}
{-1.7813, 7.4172, 6.1579}
|{-0.0977, 0.1025, 0.1441}
{-1.7813, 7.4172, 6.1579}
|{-0.0178, 0.0609, 0.1654}
{-1.64, 7.4005, 5.964}
|{-0.0178, 0.0609, 0.1654}
{-1.64, 7.4005, 5.964}
|{0.0301, 0.014, 0.2017}
{-1.3958, 7.5896, 5.77}
|{0.0301, 0.014, 0.2017}
{-1.3958, 7.5896, 5.77}
|{0.0323, 0.0023, 0.1953}
{-1.2402, 7.6471, 6.3183}
|{0.0323, 0.0023, 0.1953}
{-1.2402, 7.6471, 6.3183}
|{-0.0199, 2.0E-4, 0.1591}
