{-3.1795, 2.4349, 6.4787}
|Stopped!{-3.1795, 2.4349, 6.4787}
|{-0.3188, 1.4059, 0.078}
{-3.632, 3.1364, 5.9951}
|{-0.3188, 1.4059, 0.078}
{-3.632, 3.1364, 5.9951}
|{-0.437, 2.1165, 0.2485}
{-4.1252, 3.8355, 5.442}
|{-0.437, 2.1165, 0.2485}
{-4.1252, 3.8355, 5.442}
|{-0.3699, 2.6395, 0.5063}
{-3.8666, 3.0981, 7.5417}
|{-0.3699, 2.6395, 0.5063}
{-3.8666, 3.0981, 7.5417}
|{-0.355, 3.2499, 0.877}
{-3.7469, 2.7677, 10.5225}
|{-0.355, 3.2499, 0.877}
{-3.7469, 2.7677, 10.5225}
|{-0.2123, 3.2776, 1.187}
{-4.7597, 2.4995, 11.3389}
|{-0.2123, 3.2776, 1.187}
{-4.7597, 2.4995, 11.3389}
|{0.3939, 2.1942, 1.3617}
{-4.5203, 0.826, 9.9479}
|{0.3939, 2.1942, 1.3617}
{-4.5203, 0.826, 9.9479}
|{1.1534, 0.5026, 1.3936}
{-4.5633, -1.1085, 10.8433}
|{1.1534, 0.5026, 1.3936}
{-4.5633, -1.1085, 10.8433}
|{1.4783, -0.274, 1.0719}
{-5.0063, -2.5115, 12.9574}
|{1.4783, -0.274, 1.0719}
{-5.0063, -2.5115, 12.9574}
|{1.5859, -0.3283, 0.3838}
{-4.9033, -2.4277, 13.2328}
|{1.5859, -0.3283, 0.3838}
{-4.9033, -2.4277, 13.2328}
|{2.0887, -0.8684, -0.217}
{-3.6679, -1.9728, 12.5839}
|{2.0887, -0.8684, -0.217}
{-3.6679, -1.9728, 12.5839}
|{2.3508, -1.4426, -0.5153}
{-3.0263, -1.5131, 12.1841}
|{2.3508, -1.4426, -0.5153}
{-3.0263, -1.5131, 12.1841}
|{1.8011, -1.4458, -0.5175}
{-2.4205, -1.743, 12.22}
|{1.8011, -1.4458, -0.5175}
{-2.4205, -1.743, 12.22}
|{0.8211, -0.9174, -0.3502}
{-2.5594, -1.8387, 12.2104}
|{0.8211, -0.9174, -0.3502}
{-2.5594, -1.8387, 12.2104}
|{0.1606, -0.4146, -0.2011}
{-2.8683, -1.3838, 11.6071}
|{0.1606, -0.4146, -0.2011}
{-2.8683, -1.3838, 11.6071}
|{-0.0439, -0.2409, -0.184}
{-3.3064, -0.5842, 10.9247}
|{-0.0439, -0.2409, -0.184}
{-3.3064, -0.5842, 10.9247}
|{-0.1292, -0.3517, -0.2937}
{-3.0622, -0.0239, 10.137}
|{-0.1292, -0.3517, -0.2937}
{-3.0622, -0.0239, 10.137}
|{-0.2176, -0.6489, -0.3918}
{-3.1627, 0.3519, 9.323}
|{-0.2176, -0.6489, -0.3918}
{-3.1627, 0.3519, 9.323}
|{-0.2336, -0.9174, -0.3811}
{-3.2394, 0.7781, 8.8107}
|{-0.2336, -0.9174, -0.3811}
{-3.2394, 0.7781, 8.8107}
|{-0.2687, -1.0079, -0.3087}
{-2.9521, 1.0295, 8.4946}
|{-0.2687, -1.0079, -0.3087}
{-2.9521, 1.0295, 8.4946}
|{-0.3486, -0.9291, -0.2256}
{-2.8611, 1.4365, 8.4994}
|{-0.3486, -0.9291, -0.2256}
{-2.8611, 1.4365, 8.4994}
|{-0.3816, -0.731, -0.1478}
{-2.6145, 1.4389, 8.339}
|{-0.3816, -0.731, -0.1478}
{-2.6145, 1.4389, 8.339}
|{-0.3486, -0.5019, -0.0828}
{-2.4852, 1.5131, 8.6191}
|{-0.3486, -0.5019, -0.0828}
{-2.4852, 1.5131, 8.6191}
|{-0.3443, -0.3656, -0.0413}
{-2.4301, 1.391, 8.758}
|{-0.3443, -0.3656, -0.0413}
{-2.4301, 1.391, 8.758}
|{-0.3113, -0.2665, -0.0306}
{-2.4852, 1.4269, 8.6838}
|{-0.3113, -0.2665, -0.0306}
{-2.4852, 1.4269, 8.6838}
|{-0.2293, -0.1919, 0.0141}
{-2.5115, 1.3503, 8.7628}
|{-0.2293, -0.1919, 0.0141}
{-2.5115, 1.3503, 8.7628}
|{-0.2144, -0.062, 0.0919}
{-2.4373, 1.1971, 9.0525}
|{-0.2144, -0.062, 0.0919}
{-2.4373, 1.1971, 9.0525}
|{-0.2037, 0.0978, 0.1739}
{-2.5402, 1.2043, 9.2536}
|{-0.2037, 0.0978, 0.1739}
{-2.5402, 1.2043, 9.2536}
|{-0.1153, 0.1926, 0.1995}
{-2.3535, 1.0511, 9.323}
